Atletas,Jogos,Gols,Assistencias,Títulos,,,,AABR Society 2020,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,4 x 3,Máfia,"Joaozin, Leander e Caio (2)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,10 x 3,Amarelão,"Joãozin (4), Wisman (2), Leal (2), JoãoMarcelo, Sandrinho",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,10 x 2,Traíras,"Wisman (2), Lucas Victor (2), Caio (2), JoãoMarcelo, Leal, Zaza, Leander",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,6 x 6,Sambar e Love,"Joãozin (2), Leal, Zaza, Dias (2)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,5 x 3,Arrepestre,"João, Leal (3), Caio",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,4 x 2,100 limites,"João(2), Crema, JoãoMarcelo",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,5 x 2,Irmandade,"João(2), Caio (2) e Modesto",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Oitavas de Final,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,6 x 4 ,Boca Juniors,"Caio, Markin (2), Zaza, Leal, Joãozin",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quartas de Final,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GALÁTICOS,1 X 3,Máfia,JM,,,,,,,,,,,,,,,,,,,,,
